city,state,pricesept2021,violentcrime,logPrice,logCrime
Henderson, NV,1490,0.543,7.306531399,-0.610645959
Las Vegas, NV,1170,8.854,7.064759028,2.180869334
Reno, NV,1250,1.419,7.13089883,0.349952398
Buffalo, NY,1050,2.533,6.956545443,0.929404371
New York, NY,2950,47.821,7.989560449,3.867464874
Rochester, NY,980,1.54,6.887552572,0.431782416
Syracuse, NY,860,1.129,6.756932389,0.121332285
Akron, OH,640,1.782,6.461468176,0.577736329
Cincinnati, OH,920,2.562,6.82437367,0.940788203
Cleveland, OH,1320,5.791,7.185387016,1.756304988
Columbus, OH,980,4.561,6.887552572,1.517541898
Oklahoma City, OK,800,4.751,6.684611728,1.558355122
Tulsa, OK,730,3.964,6.593044534,1.377253616
Portland, OR,1410,3.606,7.251344983,1.282599125
Philadelphia, PA,1390,14.433,7.237059026,2.669517251
Pittsburgh, PA,1180,0.12,7.073269717,-2.120263536
Providence, RI,1580,0.892,7.365180126,-0.114289146
Chattanooga, TN,1140,1.946,7.038783541,0.665775984
Knoxville, TN,940,1.259,6.845879875,0.230317755
Memphis, TN,900,12.367,6.802394763,2.515031635
Nashville, TN,1410,7.376,7.251344983,1.998231486
Arlington, TX,950,2.055,6.856461985,0.720275848
Austin, TX,1440,3.953,7.272398393,1.374474784
Corpus Christi, TX,840,2.616,6.733401892,0.961646434
Dallas, TX,1390,11.764,7.237059026,2.465044021
El Paso, TX,780,2.422,6.65929392,0.884593645
Fort Worth, TX,1090,4.068,6.993932975,1.403151478
Houston, TX,1160,25.257,7.056175284,3.229103345
Irving, TX,1210,0.617,7.098375639,-0.482886255
Laredo, TX,760,0.836,6.633318433,-0.179126666
Lubbock, TX,670,2.613,6.507277712,0.960498987
Plano, TX,1370,0.431,7.222566019,-0.841647189
San Antonio, TX,1050,11.046,6.956545443,2.402068371
Salt Lake City, UT,1150,1.442,7.047517221,0.366031039
Chesapeake, VA,1050,1.112,6.956545443,0.106160196
Norfolk, VA,1050,1.325,6.956545443,0.281412459
Richmond, VA,1090,1.068,6.993932975,0.065787741
Virginia Beach, VA,1290,0.581,7.162397497,-0.543004522
Seattle, WA,1690,4.471,7.432483808,1.497612097
Spokane, WA,1000,1.52,6.907755279,0.418710335
Madison, WI,1250,0.94,7.13089883,-0.061875404
Milwaukee, WI,900,7.874,6.802394763,2.063566193